,kernel,C,coef0,gamma,form_length,dummy,home_rel,minmax,cv_acc_mean,cv_acc_ci,cv_prec_mean,cv_prec_ci,away_precision,away_recall,away_support,draw_precision,draw_recall,draw_support,home_precision,home_recall,home_support,ovr_acc,train_time
249,rbf,1.0,1,scale,5,False,False,True,0.43463382639312054,0.02337643878293767,0.3286962366869265,0.024411504275387075,0.38849840255591056,0.29160671462829735,2085,0.0,0.0,1381,0.45096302855877796,0.7780748663101604,2618,0.4347468770545694,11.315541982650757
250,rbf,1.0,1,scale,5,False,True,False,0.43024777090535193,0.006605247674665656,0.18513578351410603,0.0056661989400014125,0.0,0.0,2085,0.0,0.0,1381,0.43030900723208415,1.0,2618,0.43030900723208415,5.9416937828063965
251,rbf,1.0,1,scale,5,False,True,True,0.42404500024965663,0.017621714872549314,0.3252737006870635,0.030179298101318506,0.3744725738396624,0.3405275779376499,2085,0.1111111111111111,0.000724112961622013,1381,0.44675759751136634,0.7131398013750955,2618,0.4237343852728468,6.552001476287842
252,rbf,1.0,1,scale,5,True,False,False,0.43024777090535193,0.006605247674665656,0.18513578351410603,0.0056661989400014125,0.0,0.0,2085,0.0,0.0,1381,0.43030900723208415,1.0,2618,0.43030900723208415,21.06759476661682
253,rbf,1.0,1,scale,5,True,False,True,0.42538419736352867,0.014325216191089183,0.31841662507870966,0.01684499727923821,0.37697160883280756,0.22925659472422064,2085,0.0,0.0,1381,0.4381229235880399,0.8059587471352178,2618,0.4253780407626562,23.354287147521973
254,rbf,1.0,1,scale,5,True,True,False,0.43024777090535193,0.006605247674665656,0.18513578351410603,0.0056661989400014125,0.0,0.0,2085,0.0,0.0,1381,0.43030900723208415,1.0,2618,0.43030900723208415,17.128685474395752
255,rbf,1.0,1,scale,5,True,True,True,0.42820697555255316,0.01274870992463044,0.3199200618065762,0.020758917915072946,0.3826955074875208,0.22062350119904076,2085,0.0,0.0,1381,0.4391642769356821,0.8189457601222307,2618,0.4280078895463511,18.04055690765381
256,sigmoid,1.0,1,scale,5,False,False,False,0.43024777090535193,0.006605247674665656,0.18513578351410603,0.0056661989400014125,0.0,0.0,2085,0.0,0.0,1381,0.43030900723208415,1.0,2618,0.43030900723208415,10.589129209518433
257,sigmoid,1.0,1,scale,5,False,False,True,0.43024777090535193,0.006605247674665656,0.18513578351410603,0.0056661989400014125,0.0,0.0,2085,0.0,0.0,1381,0.43030900723208415,1.0,2618,0.43030900723208415,11.53639531135559
258,sigmoid,1.0,1,scale,5,False,True,False,0.43024777090535193,0.006605247674665656,0.18513578351410603,0.0056661989400014125,0.0,0.0,2085,0.0,0.0,1381,0.43030900723208415,1.0,2618,0.43030900723208415,6.6149585247039795
259,sigmoid,1.0,1,scale,5,False,True,True,0.43024777090535193,0.006605247674665656,0.18513578351410603,0.0056661989400014125,0.0,0.0,2085,0.0,0.0,1381,0.43030900723208415,1.0,2618,0.43030900723208415,6.457218408584595
