,n_estimators,max_depth,min_samples_leaf,min_samples_split,max_features,criterion,class_weights,first_games,form_length,dummy,home_rel,minmax,cv_acc_mean,cv_acc_ci,cv_prec_mean,cv_prec_ci,away_precision,away_recall,away_support,draw_precision,draw_recall,draw_support,home_precision,home_recall,home_support,ovr_acc,confidence_factor,sure_away_precision,sure_away_recall,sure_away_support,sure_draw_precision,sure_draw_recall,sure_draw_support,sure_home_precision,sure_home_recall,sure_home_support,sure_ovr_acc,train_time
0,50,10.0,1,2,sqrt,entropy,False,0,1,False,False,False,0.43784328639303327,0.019641016833357724,0.3822557726145962,0.06381870274603627,0.40327471194663433,0.31894484412470026,2085,0.27906976744186046,0.008689355539464157,1381,0.45195810564663025,0.7582123758594347,2618,0.43754109138724523,0.5,0.4166666666666667,0.13157894736842105,228.0,0.0,0.0,164.0,0.5029154518950437,0.9400544959128065,367.0,0.49407114624505927,3.525995969772339
1,50,10.0,1,2,sqrt,entropy,False,0,1,False,False,False,0.43784328639303327,0.019641016833357724,0.3822557726145962,0.06381870274603627,0.40327471194663433,0.31894484412470026,2085,0.27906976744186046,0.008689355539464157,1381,0.45195810564663025,0.7582123758594347,2618,0.43754109138724523,0.55,0.5,0.14285714285714285,42.0,0.0,0.0,31.0,0.6024844720496895,0.97,100.0,0.5953757225433526,3.525995969772339
2,50,10.0,1,2,sqrt,entropy,False,0,1,False,False,False,0.43784328639303327,0.019641016833357724,0.3822557726145962,0.06381870274603627,0.40327471194663433,0.31894484412470026,2085,0.27906976744186046,0.008689355539464157,1381,0.45195810564663025,0.7582123758594347,2618,0.43754109138724523,0.6,0.0,0.0,5.0,0.0,0.0,5.0,0.5238095238095238,1.0,11.0,0.5238095238095238,3.525995969772339
3,50,10.0,1,2,sqrt,entropy,False,0,3,False,False,False,0.4397999547224618,0.016505404164792018,0.3887360676050121,0.03791692286521002,0.4008728179551122,0.30839328537170263,2085,0.2318840579710145,0.011585807385952208,1381,0.45703922013148945,0.7700534759358288,2618,0.43967784352399736,0.5,0.5972222222222222,0.1829787234042553,235.0,0.0,0.0,173.0,0.5076071922544951,0.9458762886597938,388.0,0.5150753768844221,3.377652883529663
4,50,10.0,1,2,sqrt,entropy,False,0,3,False,False,False,0.4397999547224618,0.016505404164792018,0.3887360676050121,0.03791692286521002,0.4008728179551122,0.30839328537170263,2085,0.2318840579710145,0.011585807385952208,1381,0.45703922013148945,0.7700534759358288,2618,0.43967784352399736,0.55,0.6363636363636364,0.1346153846153846,52.0,0.0,0.0,41.0,0.5274725274725275,0.96,100.0,0.533678756476684,3.377652883529663
5,50,10.0,1,2,sqrt,entropy,False,0,3,False,False,False,0.4397999547224618,0.016505404164792018,0.3887360676050121,0.03791692286521002,0.4008728179551122,0.30839328537170263,2085,0.2318840579710145,0.011585807385952208,1381,0.45703922013148945,0.7700534759358288,2618,0.43967784352399736,0.6,1.0,0.09090909090909091,11.0,0.0,0.0,6.0,0.5294117647058824,1.0,18.0,0.5428571428571428,3.377652883529663
6,50,10.0,1,2,sqrt,entropy,False,0,5,False,False,False,0.43043952661218815,0.0179013030565564,0.3745228926352758,0.03548687997396187,0.3913894324853229,0.28776978417266186,2085,0.18666666666666668,0.010137581462708182,1381,0.4481680071492404,0.7662337662337663,2618,0.43063773833004604,0.5,0.42857142857142855,0.14042553191489363,235.0,0.0,0.0,190.0,0.5071707953063885,0.9284009546539379,419.0,0.5,3.419990062713623
7,50,10.0,1,2,sqrt,entropy,False,0,5,False,False,False,0.43043952661218815,0.0179013030565564,0.3745228926352758,0.03548687997396187,0.3913894324853229,0.28776978417266186,2085,0.18666666666666668,0.010137581462708182,1381,0.4481680071492404,0.7662337662337663,2618,0.43063773833004604,0.55,0.5,0.10714285714285714,56.0,0.0,0.0,56.0,0.48,0.96,100.0,0.4811320754716981,3.419990062713623
8,50,10.0,1,2,sqrt,entropy,False,0,5,False,False,False,0.43043952661218815,0.0179013030565564,0.3745228926352758,0.03548687997396187,0.3913894324853229,0.28776978417266186,2085,0.18666666666666668,0.010137581462708182,1381,0.4481680071492404,0.7662337662337663,2618,0.43063773833004604,0.6,0.5,0.2857142857142857,7.0,0.0,0.0,14.0,0.45454545454545453,0.9375,16.0,0.4594594594594595,3.419990062713623
9,50,10.0,1,2,sqrt,entropy,False,0,10,False,False,False,0.4342614162174058,0.006321533854051915,0.37438733258861845,0.04950836668029517,0.3917104495037945,0.32182254196642684,2085,0.15384615384615385,0.004344677769732078,1381,0.453601108033241,0.7505729564553094,2618,0.4342537804076266,0.5,0.5126050420168067,0.19242902208201892,317.0,0.0,0.0,187.0,0.49939540507859737,0.9343891402714932,442.0,0.5010570824524313,3.710479497909546
10,50,10.0,1,2,sqrt,entropy,False,0,10,False,False,False,0.4342614162174058,0.006321533854051915,0.37438733258861845,0.04950836668029517,0.3917104495037945,0.32182254196642684,2085,0.15384615384615385,0.004344677769732078,1381,0.453601108033241,0.7505729564553094,2618,0.4342537804076266,0.55,0.5416666666666666,0.14942528735632185,87.0,0.0,0.0,45.0,0.49321266968325794,0.9646017699115044,113.0,0.49795918367346936,3.710479497909546
11,50,10.0,1,2,sqrt,entropy,False,0,10,False,False,False,0.4342614162174058,0.006321533854051915,0.37438733258861845,0.04950836668029517,0.3917104495037945,0.32182254196642684,2085,0.15384615384615385,0.004344677769732078,1381,0.453601108033241,0.7505729564553094,2618,0.4342537804076266,0.6,1.0,0.17647058823529413,17.0,0.0,0.0,10.0,0.4666666666666667,1.0,21.0,0.5,3.710479497909546
