,dummy_teams,dummy_coaches,scale,n_estimators,min_samples_split,min_samples_leaf,max_features,max_depth,criterion,acc_train,ci_train,acc_test,ci_test,time
0,False,False,,80,2,1,,160,entropy,99.9794000254085,0.03502445738773289,79.1717540637243,0.6706395745209391,186.14
1,False,False,,160,2,1,,160,entropy,99.96394540303888,0.07005793259421042,79.62493762408826,0.9505223470994362,344.73
2,False,False,,320,2,1,,160,entropy,99.9845480298738,0.028601031215016,79.68670835677959,1.1609444310551709,639.28
3,False,False,,80,8,1,,160,entropy,99.91759214490374,0.14548730958503536,79.76924628664253,1.9450806353010992,186.02
4,False,False,,160,8,1,,160,entropy,99.94334410232567,0.10701599779851784,79.4601590453035,1.207624426025617,330.36
5,False,False,,320,8,1,,160,entropy,99.9639480552823,0.05350615429847773,79.89295762684871,1.0372389748469695,628.51
6,False,False,,80,32,1,,160,entropy,97.491785339088,0.7681154056343229,78.84200579697836,1.2835874968448042,172.02
7,False,False,,160,32,1,,160,entropy,97.88321005263907,0.6884334136473035,79.15107180396446,1.199710114959613,316.75
8,False,False,,320,32,1,,160,entropy,97.80080750202963,0.7465438418592254,79.37774852155817,1.4753248089434996,608.88
9,False,False,,80,2,5,,160,entropy,98.14071106115463,0.4696178339835734,78.3272001443936,1.1965134614177002,168.42
10,False,False,,160,2,5,,160,entropy,98.36733597797365,0.4304794909154302,78.71846433159565,1.0459159911711216,318.98
11,False,False,,320,2,5,,160,entropy,98.30037744076014,0.3776180603059055,78.75970144499772,1.5667697216863046,598.24
12,False,False,,80,8,5,,160,entropy,98.09951376421503,0.4115421964694375,78.34805227897692,1.668623764967134,169.12
13,False,False,,160,8,5,,160,entropy,98.21797754239412,0.3969525590514685,78.69795194665932,1.528292636589072,313.64
14,False,False,,320,8,5,,160,entropy,98.30552942359058,0.32238482137514735,78.75978638240947,1.1767798991779796,600.28
15,False,False,,80,32,5,,160,entropy,94.55089164445192,0.5595306498644381,77.812012273456,1.5521486417123838,169.32
16,False,False,,160,32,5,,160,entropy,94.664206092044,0.441300012178636,78.5123212332912,1.9291851862538125,307.65
17,False,False,,320,32,5,,160,entropy,94.5766528847258,0.54028216214044,78.57443171562956,1.9082579989587862,586.95
18,False,False,,80,2,10,,160,entropy,93.659875774223,0.33691706025606444,74.24833575758862,2.339824350275147,147.09
19,False,False,,160,2,10,,160,entropy,93.6701664786668,0.2543267979729241,74.26865703334855,2.3530712021115603,268.85
20,False,False,,320,2,10,,160,entropy,93.81953021873316,0.2548156939987453,74.22752609171117,2.168901904478963,505.59
