,dummy_teams,dummy_coaches,scale,n_estimators,min_samples_split,min_samples_leaf,max_features,max_depth,criterion,acc_train,ci_train,acc_test,ci_test,time
0,False,False,std,50,2,1,,100.0,gini,96.96642631152774,0.8131310540169957,81.4587575780097,1.4025303754189686,108.74
1,False,False,std,200,2,1,,100.0,gini,97.36806216222023,1.4880464078895488,81.78880312569675,2.2517202252440494,296.47
2,False,False,std,500,2,1,,100.0,gini,97.24961960198843,1.3876169530528164,81.72709609606422,2.671275501244727,667.1
3,False,False,std,50,8,1,,100.0,gini,96.09078814860945,1.321675286221658,80.94386698801321,2.0023396644611937,106.63
4,False,False,std,200,8,1,,100.0,gini,96.42040100329064,1.3407848302500576,81.10885791032732,2.059441083418139,294.57
5,False,False,std,500,8,1,,100.0,gini,96.45129433456937,1.369721059036168,81.29438245193074,2.527102465817532,665.49
6,False,False,std,50,32,1,,100.0,gini,89.85356168441858,2.579221588407356,77.62733710597004,3.1068474345197785,103.64
7,False,False,std,200,32,1,,100.0,gini,90.36345282839217,2.681146079667755,78.36903181967787,3.173950282295751,281.27
8,False,False,std,500,32,1,,100.0,gini,90.56433241839775,2.5073853464125677,78.32790087804048,3.1155637195396637,628.98
9,False,False,std,50,2,4,,100.0,gini,93.82459069916584,1.4277980360033102,79.99658126917728,2.8448910173524053,103.59
10,False,False,std,200,2,4,,100.0,gini,94.23146870896483,1.4802546733384647,80.28485884463885,2.2480530660630245,279.67
11,False,False,std,500,2,4,,100.0,gini,94.34477917819177,1.5932833960124517,80.8618174482678,2.5961434829649397,630.27
12,False,False,std,50,8,4,,100.0,gini,93.96367699600546,1.4216105692059016,80.01702995105481,2.154052092979759,103.09
13,False,False,std,200,8,4,,100.0,gini,94.42717244594925,1.739936465398863,80.57317888880631,2.5121666091016444,275.34
14,False,False,std,500,8,4,,100.0,gini,94.31900865506593,1.6922917599201786,80.57330629492392,2.359679281729666,631.78
15,False,False,std,50,32,4,,100.0,gini,89.0346576603553,2.3979326242158963,78.3073035556924,2.8178770375815043,102.35
16,False,False,std,200,32,4,,100.0,gini,89.61671369536279,1.775313008439192,78.38954420461423,2.7414125492856347,275.13
17,False,False,std,500,32,4,,100.0,gini,89.85362533826049,1.7334544292292655,78.16303736184399,3.0124265657674067,622.04
18,False,False,std,50,2,16,,100.0,gini,75.35532105008681,1.4024199731651106,63.14374595220147,2.470121500648605,85.16
19,False,False,std,200,2,16,,100.0,gini,75.26774264645621,1.992111624571177,62.97928588871075,3.1744495242695394,212.38
20,False,False,std,500,2,16,,100.0,gini,75.75187387627761,1.8638443699534324,63.08229373480416,3.024101065220823,461.71
21,False,False,std,50,8,16,,100.0,gini,75.14414014666376,1.3641661130943805,62.27865841358149,2.794515839062216,85.65
22,False,False,std,200,8,16,,100.0,gini,75.25743868079535,1.8922546390338046,63.04109909010798,2.7369407484130908,212.06
23,False,False,std,500,8,16,,100.0,gini,75.39648784622717,2.077694645537343,63.08218756303948,2.94149453606353,468.13
24,False,False,std,50,32,16,,100.0,gini,75.02567106399783,2.3226400865905497,62.7526516398229,3.1162799064322946,86.2
25,False,False,std,200,32,16,,100.0,gini,75.41709975591405,1.4907531442762347,62.79384628451909,2.7674117939026064,212.34
26,False,False,std,500,32,16,,100.0,gini,75.47374769685811,2.030190727219513,62.89687536496543,3.167819281165307,464.29
27,False,False,std,50,2,1,sqrt,100.0,gini,98.01706612546755,0.9505634526980788,73.65094970643507,1.483801697629614,38.58
28,False,False,std,200,2,1,sqrt,100.0,gini,98.60422375068063,0.3586213683227285,74.47486383471178,0.9739472589730411,46.81
29,False,False,std,500,2,1,sqrt,100.0,gini,98.5424225007844,0.455456712074046,74.74282013441345,1.3819877590651184,62.31
30,False,False,std,50,8,1,sqrt,100.0,gini,96.55952045317292,0.380391408254191,73.65082230031744,1.095169873836699,38.81
31,False,False,std,200,8,1,sqrt,100.0,gini,96.96125576299342,0.8317930193730503,74.80469703886948,1.5051113621622663,45.85
32,False,False,std,500,8,1,sqrt,100.0,gini,97.2290514543179,0.8586807338517495,74.94883582660027,1.4113539146403438,61.74
33,False,False,std,50,32,1,sqrt,100.0,gini,90.70349032580954,1.8956017976174235,73.5478993916358,1.5203996040711776,37.84
34,False,False,std,200,32,1,sqrt,100.0,gini,91.45029178655912,1.0886874651067386,74.28972151146124,1.8779162697056249,45.46
35,False,False,std,500,32,1,sqrt,100.0,gini,91.69753922203866,0.9980521740588596,74.2895728709907,1.5993549812661498,60.89
36,False,False,std,50,2,4,sqrt,100.0,gini,89.60134394478241,0.8028039354014458,73.5892214424496,1.7290550222853083,38.26
37,False,False,std,200,2,4,sqrt,100.0,gini,90.43570789570212,0.30391546396990327,74.3102975994564,1.7778548085071815,45.66
38,False,False,std,500,2,4,sqrt,100.0,gini,90.50782106798945,0.3339460310908537,74.1043456103284,2.301589179416246,59.96
39,False,False,std,50,8,4,sqrt,100.0,gini,89.78162356019652,0.7115795371213363,72.80626838098677,1.7531799181466716,38.19
40,False,False,std,200,8,4,sqrt,100.0,gini,90.49235716276792,0.6517289167011904,73.81579198827865,1.6697223949032418,45.81
41,False,False,std,500,8,4,sqrt,100.0,gini,90.68292880874752,0.5717038883050398,74.66066442290338,2.5281191254071325,60.56
42,False,False,std,50,32,4,sqrt,100.0,gini,88.47338062636973,0.9931107921485045,72.86812405108985,2.0559186794051927,38.06
43,False,False,std,200,32,4,sqrt,100.0,gini,89.00388898451699,0.40699999423752997,74.22775966959347,1.773593538358281,44.9
44,False,False,std,500,32,4,sqrt,100.0,gini,89.49832020163416,0.47845695001038746,74.0426598150488,2.330261047235561,59.22
45,False,False,std,50,2,16,sqrt,100.0,gini,70.48824088099039,0.5868169586613644,58.48813530529691,1.484256202675828,37.57
46,False,False,std,200,2,16,sqrt,100.0,gini,70.38522111620725,0.4818542085472169,58.57052459468929,1.5376129251297719,43.77
47,False,False,std,500,2,16,sqrt,100.0,gini,70.5654914487694,0.3940280694246601,58.57052459468929,2.089824910407749,56.56
48,False,False,std,50,8,16,sqrt,100.0,gini,70.35429330576414,0.8550260673337013,58.34372047097795,0.7717832182351547,38.24
49,False,False,std,200,8,16,sqrt,100.0,gini,70.66847142990135,0.8413426556495391,58.52939365305191,1.7157572139703765,44.96
50,False,False,std,500,8,16,sqrt,100.0,gini,70.73545781567067,0.5048445826098626,58.77656152122904,1.5551712195101264,56.75
51,False,False,std,50,32,16,sqrt,100.0,gini,70.59639273677837,0.8551360606726277,58.261437353350246,1.1048880271818005,38.36
52,False,False,std,200,32,16,sqrt,100.0,gini,70.56033681369554,0.5543132541754684,58.67336256595921,1.15916830265381,44.86
53,False,False,std,500,32,16,sqrt,100.0,gini,70.68908864407504,0.5959447835236761,58.77658275558198,2.018700818100041,57.01
54,False,False,std,50,2,1,log2,100.0,gini,99.28924120111616,0.2865659377180096,64.46248420695001,1.1399175602473606,37.38
55,False,False,std,200,2,1,log2,100.0,gini,99.82488165026828,0.1713123809859136,65.18364530136856,1.6259927670793681,44.48
56,False,False,std,500,2,1,log2,100.0,gini,99.88668687852963,0.10749402657976329,66.15169821737608,1.0287313221435963,55.42
57,False,False,std,50,8,1,log2,100.0,gini,97.34752318922722,0.41779238641140226,65.12153481903023,1.6643102472581872,38.07
58,False,False,std,200,8,1,log2,100.0,gini,98.22310035054701,0.4754595381100071,65.80167114357609,1.3404545481165042,43.9
59,False,False,std,500,8,1,log2,100.0,gini,98.34154954138732,0.39927514364894096,65.94580993130687,1.098037402666482,55.6
60,False,False,std,50,32,1,log2,100.0,gini,88.28280898039012,1.102875851639981,64.27734188369945,2.2040149819649306,37.71
61,False,False,std,200,32,1,log2,100.0,gini,90.16786976848302,0.733270315016471,65.32778408909935,1.1476099897868548,44.09
62,False,False,std,500,32,1,log2,100.0,gini,90.67261688635641,0.649460354387606,66.0284115642286,1.8824397001035882,54.74
63,False,False,std,50,2,4,log2,100.0,gini,84.224315608479,0.7749449244838282,64.11224478962065,0.9641825968651054,37.74
64,False,False,std,200,2,4,log2,100.0,gini,85.92394081996227,0.63413844200617,64.97758714047586,1.294595476905032,43.54
65,False,False,std,500,2,4,log2,100.0,gini,86.2690334933255,0.5262570929804047,64.7714865108773,0.8152594943765041,54.24
66,False,False,std,50,8,4,log2,100.0,gini,84.1522117190436,0.5632241430832551,63.906292800492636,1.6141238765939558,38.19
